area,isector,account_entry,transaction,instr_asset,ref_date,period,value,unit,unit_mult,prices,ref_year_price,activity,consolidation,note
"CZ","S1","C","P1","_Z","_Z","2015","263821","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2016","267504","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2017","261456","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2018","273296","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2019","288810","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2020","312312","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2021","302178","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1991","131381","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1992","123353","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1993","101596","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1994","107682","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1995","121636","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1996","120357","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1997","113522","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1998","107360","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1999","94276","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2000","90922","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2001","95311","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2002","97608","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2003","95494","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2004","94082","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2005","86766","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2006","95731","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2007","101181","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2008","99786","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2009","85761","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2010","84268","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2011","79954","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2012","80481","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2013","73483","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2014","72338","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2015","71251","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2016","66897","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2017","64235","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2018","63233","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2019","58651","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2020","53571","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2021","55624","CZK","6","L","2015","B","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1991","1565823","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1992","1399918","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1993","1291004","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1994","1292675","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1995","1482529","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1996","1569453","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1997","1725855","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1998","1823433","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1999","1834041","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2000","1974952","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2001","2175906","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2002","2234538","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2003","2395234","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2004","2682620","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2005","2915162","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2006","3320870","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2007","3592117","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2008","3659184","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2009","3110523","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2010","3475435","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2011","3725724","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2012","3669254","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2013","3644532","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2014","3902213","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2015","4138573","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2016","4299138","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2017","4633074","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2018","4807569","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2019","4815769","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2020","4416025","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2021","4669303","CZK","6","L","2015","C","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1991","273010","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1992","403946","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1993","372308","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1994","371484","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1995","333383","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1996","385455","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1997","399626","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1998","389719","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1999","391910","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2000","389246","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2001","443015","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2002","439311","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2003","471447","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2004","474877","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2005","440421","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2006","500889","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2007","476943","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2008","466180","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2009","427875","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2010","424639","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2011","426939","CZK","6","L","2015","D","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2012","410595","CZK","6","L","2015","D","N","P.1c"
